+-------------+-------------------+------+-----------------------------------------------------+----------------+---------------+
| run:fill    | time              | ncms | hltpath                                             | delivered(/fb) | recorded(/fb) |
| 259820:4528 | 10/23/15 05:28:06 | 158  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v3 | 0.013          | 0.013         |
| 259821:4528 | 10/23/15 06:36:07 | 210  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v3 | 0.017          | 0.016         |
| 259822:4528 | 10/23/15 08:06:27 | 461  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v3 | 0.033          | 0.033         |
| 259861:4530 | 10/23/15 22:04:22 | 152  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v3 | 0.014          | 0.014         |
| 259862:4530 | 10/23/15 23:06:58 | 530  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v3 | 0.047          | 0.046         |
| 259884:4532 | 10/24/15 16:31:58 | 80   | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v3 | 0.007          | 0.007         |
| 259890:4532 | 10/24/15 17:20:01 | 107  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v3 | 0.010          | 0.010         |
| 259891:4532 | 10/24/15 18:06:49 | 108  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v3 | 0.010          | 0.010         |
| 260373:4555 | 10/30/15 10:18:37 | 360  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v3 | 0.011          | 0.011         |
| 260424:4557 | 10/30/15 18:40:06 | 666  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v3 | 0.069          | 0.067         |
| 260425:4557 | 10/30/15 23:06:36 | 252  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v3 | 0.024          | 0.024         |
| 260426:4557 | 10/31/15 01:02:23 | 499  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v3 | 0.045          | 0.044         |
| 260427:4557 | 10/31/15 04:25:46 | 284  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v3 | 0.024          | 0.023         |
| 260431:4557 | 10/31/15 06:31:22 | 447  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v3 | 0.036          | 0.035         |
| 260532:4560 | 11/01/15 04:26:38 | 741  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v3 | 0.071          | 0.069         |
| 260533:4560 | 11/01/15 09:24:23 | 14   | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v3 | 0.001          | 0.001         |
| 260534:4560 | 11/01/15 09:34:18 | 375  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v3 | 0.033          | 0.032         |
| 260536:4560 | 11/01/15 12:11:50 | 177  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v3 | 0.015          | 0.014         |
| 260538:4560 | 11/01/15 13:29:58 | 284  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v3 | 0.023          | 0.022         |
| 260541:4560 | 11/01/15 15:25:55 | 24   | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v3 | 0.002          | 0.002         |
| 260575:4562 | 11/01/15 21:37:56 | 20   | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v3 | 0.002          | 0.002         |
| 260576:4562 | 11/01/15 21:49:30 | 463  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v3 | 0.055          | 0.051         |
| 260577:4562 | 11/02/15 00:53:22 | 76   | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v3 | 0.009          | 0.008         |
| 260593:4565 | 11/02/15 08:42:24 | 337  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v3 | 0.038          | 0.036         |
| 260627:4569 | 11/02/15 19:06:16 | 1739 | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v3 | 0.186          | 0.179         |
+-------------+-------------------+------+-----------------------------------------------------+----------------+---------------+
#Summary: 
+-----------------------------------------------------+-------+------+-------+-------------------+------------------+
| hltpath                                             | nfill | nrun | ncms  | totdelivered(/fb) | totrecorded(/fb) |
+-----------------------------------------------------+-------+------+-------+-------------------+------------------+
| HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v1 | 5     | 7    | 1045  | 0.017             | 0.017            |
| HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v2 | 29    | 70   | 21339 | 1.409             | 1.365            |
| HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v3 | 12    | 37   | 10739 | 0.969             | 0.934            |
+-----------------------------------------------------+-------+------+-------+-------------------+------------------+


Total = 2.316 (/fb)
